"Year","State","Percent of bachelor's degree or higher","Percentage of cig user","Percentage of E-cig user","E-cig existence","E-cig ratio"
2012,"Oklahoma",23.8,24.1045454545455,NA,FALSE,NA
2012,"Oregon",29.9,18.94,NA,FALSE,NA
2012,"Pennsylvania",27.8,24.3772727272727,NA,FALSE,NA
2012,"Puerto Rico",24.2,12.6,NA,FALSE,NA
2012,"Rhode Island",31.4,18.1095238095238,NA,FALSE,NA
2012,"South Carolina",25.1,23.6136363636364,NA,FALSE,NA
2012,"South Dakota",26.3,24.985,NA,FALSE,NA
2012,"Tennessee",24.3,25.5,NA,FALSE,NA
2012,"Texas",26.7,18.0142857142857,NA,FALSE,NA
2012,"Utah",30.7,12.7772727272727,NA,FALSE,NA
2012,"Vermont",35.8,19.1157894736842,NA,FALSE,NA
2012,"Virginia",35.5,21.5272727272727,NA,FALSE,NA
2012,"Washington",31.7,18.9727272727273,NA,FALSE,NA
2012,"West Virginia",18.6,29.16,NA,FALSE,NA
2012,"Wisconsin",27.1,23.447619047619,NA,FALSE,NA
2012,"Wyoming",24.7,25.015,NA,FALSE,NA
2013,"Alabama",23.5,22.4857142857143,NA,FALSE,NA
2013,"Alaska",28,25.8636363636364,NA,FALSE,NA
2013,"Arizona",27.4,17.1238095238095,NA,FALSE,NA
2013,"Arkansas",20.6,26.4380952380952,NA,FALSE,NA
2013,"California",31,13.0454545454545,NA,FALSE,NA
2013,"Colorado",37.8,20.0727272727273,NA,FALSE,NA
2013,"Connecticut",37.2,16.3619047619048,NA,FALSE,NA
2013,"Delaware",29.8,20.152380952381,NA,FALSE,NA
2013,"District of Columbia",55.1,19.9,NA,FALSE,NA
2013,"Florida",27.2,17.5818181818182,NA,FALSE,NA
2013,"Georgia",28.3,19.5090909090909,NA,FALSE,NA
2013,"Hawaii",31.2,14.285,NA,FALSE,NA
2013,"Idaho",26.2,20.225,NA,FALSE,NA
2013,"Illinois",32.1,17.9619047619048,NA,FALSE,NA
2013,"Indiana",23.8,22.7409090909091,NA,FALSE,NA
2013,"Iowa",26.4,20.535,NA,FALSE,NA
2013,"Kansas",31.1,22.2727272727273,NA,FALSE,NA
2013,"Kentucky",22.6,27.7,NA,FALSE,NA
2013,"Louisiana",22.5,24.005,NA,FALSE,NA
2013,"Maine",28.2,23.565,NA,FALSE,NA
2013,"Maryland",37.4,17.5272727272727,NA,FALSE,NA
2013,"Massachusetts",40.3,18.3818181818182,NA,FALSE,NA
2013,"Michigan",26.9,23.75,NA,FALSE,NA
2013,"Minnesota",33.5,20.4272727272727,NA,FALSE,NA
2013,"Mississippi",20.4,25.2,NA,FALSE,NA
